name;url
Дирекция;1
Первый заместитель ген. директора по вопросам локализации, расширения кооперационных связей в промышленности и информационных технологий ;2
Заместитель генерального директора ;3
Управляющий директор по развитию производства и технологий;4
ФУНКЦИОНАЛЬНАЯ ГРУППА ПО ФИНАНСАМ;5
"Филиал АО ""UzAUTO MOTORS"" в г.Питнак, Хорезмской области";6
УПРАВЛЕНИЕ СЛУЖБЫ БЕЗОПАСТНОСТИ;7
Служба внутреннего аудита;8
СЛУЖБА ПО КОМПЛАЕНСУ;9
Юридическое управление;10
Управляющий делами;11
ДИРЕКЦИЯ КОММУНАЛЬНОГО ОБСЛУЖИВАНИЯ И КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА;12
"ФИЛИАЛ АО ""УЗ АУТО МОТОРС"" в г.ТАШКЕНТЕ";13
ДИРЕКЦИЯ СТРАТЕГИЧЕСКОГО РАЗВИТИЯ И ИНВЕCТИЦИИ;14
УПРАВЛЕНИЕ КОРПОРАТИВНЫХ И ИМУЩЕСТВЕННЫХ ОТНОШЕНИЙ;15
ОТДЕЛ ПО ВНУТРЕННИМ КОММУНИКАЦИЯМ;16
